layer_idx,module_type,layer_name,max_val,min_val,mean_val,kurtosis
19,Attention,self_attn.k_proj,73.0,-8.1875,0.387554,660.60767
19,Attention,self_attn.v_proj,73.0,-8.1875,0.387554,660.60767
19,Attention,self_attn.o_proj,6.125,-12.375,0.11578616,98.277596
19,MLP,mlp.gate_proj,73.0,-8.125,0.41114134,535.4538
19,MLP,mlp.up_proj,73.0,-8.125,0.41114134,535.4538
19,MLP,mlp.down_proj,6.0,-26.875,0.04769885,7077.675
20,Attention,self_attn.q_proj,72.5,-8.0,0.41955706,481.90198
20,Attention,self_attn.k_proj,72.5,-8.0,0.41955706,481.90198
20,Attention,self_attn.v_proj,72.5,-8.0,0.41955706,481.90198
20,Attention,self_attn.o_proj,4.65625,-10.0625,0.11782614,34.189144
20,MLP,mlp.gate_proj,72.5,-8.6875,0.4355323,414.86618
20,MLP,mlp.up_proj,72.5,-8.6875,0.4355323,414.86618
20,MLP,mlp.down_proj,7.1875,-9.0,0.0528249,164.72276
21,Attention,self_attn.q_proj,69.5,-9.0625,0.4467338,318.05798
21,Attention,self_attn.k_proj,69.5,-9.0625,0.4467338,318.05798
21,Attention,self_attn.v_proj,69.5,-9.0625,0.4467338,318.05798
21,Attention,self_attn.o_proj,7.9375,-5.53125,0.10604437,65.16725
21,MLP,mlp.gate_proj,69.0,-8.9375,0.46328962,273.1914
21,MLP,mlp.up_proj,69.0,-8.9375,0.46328962,273.1914
21,MLP,mlp.down_proj,7.65625,-6.0,0.061127648,102.738045
22,Attention,self_attn.q_proj,64.0,-9.0625,0.4753154,182.9408
22,Attention,self_attn.k_proj,64.0,-9.0625,0.4753154,182.9408
22,Attention,self_attn.v_proj,64.0,-9.0625,0.4753154,182.9408
22,Attention,self_attn.o_proj,5.0625,-4.125,0.12659225,12.62367
22,MLP,mlp.gate_proj,63.5,-9.0625,0.49566352,153.21205
22,MLP,mlp.up_proj,63.5,-9.0625,0.49566352,153.21205
22,MLP,mlp.down_proj,18.125,-8.375,0.07189771,496.08704
23,Attention,self_attn.q_proj,55.75,-9.6875,0.50442815,85.871895
23,Attention,self_attn.k_proj,55.75,-9.6875,0.50442815,85.871895
23,Attention,self_attn.v_proj,55.75,-9.6875,0.50442815,85.871895
23,Attention,self_attn.o_proj,4.3125,-8.0,0.1704157,7.860079
23,MLP,mlp.gate_proj,55.25,-9.625,0.52510196,71.50296
23,MLP,mlp.up_proj,55.25,-9.625,0.52510196,71.50296
23,MLP,mlp.down_proj,13.9375,-16.125,0.086878695,261.9457
24,Attention,self_attn.q_proj,49.25,-10.25,0.54888934,40.292545
24,Attention,self_attn.k_proj,49.25,-10.25,0.54888934,40.292545
24,Attention,self_attn.v_proj,49.25,-10.25,0.54888934,40.292545
24,Attention,self_attn.o_proj,6.625,-9.0625,0.0894397,60.672848
24,MLP,mlp.gate_proj,49.0,-9.875,0.57978296,32.83018
24,MLP,mlp.up_proj,49.0,-9.875,0.57978296,32.83018
24,MLP,mlp.down_proj,30.875,-18.625,0.09738812,737.36505
25,Attention,self_attn.q_proj,46.5,-10.3125,0.61529815,22.580967
25,Attention,self_attn.k_proj,46.5,-10.3125,0.61529815,22.580967
25,Attention,self_attn.v_proj,46.5,-10.3125,0.61529815,22.580967
25,Attention,self_attn.o_proj,4.625,-5.53125,0.08766018,27.428352
25,MLP,mlp.gate_proj,46.25,-9.8125,0.6343613,19.969683
25,MLP,mlp.up_proj,46.25,-9.8125,0.6343613,19.969683
25,MLP,mlp.down_proj,29.875,-19.125,0.10850491,506.70645
26,Attention,self_attn.q_proj,44.25,-10.4375,0.68673503,13.20755
26,Attention,self_attn.k_proj,44.25,-10.4375,0.68673503,13.20755
26,Attention,self_attn.v_proj,44.25,-10.4375,0.68673503,13.20755
26,Attention,self_attn.o_proj,3.65625,-2.703125,0.0833014,16.924057
26,MLP,mlp.gate_proj,44.25,-10.375,0.70210654,12.2333555
26,MLP,mlp.up_proj,44.25,-10.375,0.70210654,12.2333555
26,MLP,mlp.down_proj,18.0,-42.25,0.13004787,613.626
27,Attention,self_attn.q_proj,42.5,-11.0,0.751468,8.452335
27,Attention,self_attn.k_proj,42.5,-11.0,0.751468,8.452335
27,Attention,self_attn.v_proj,42.5,-11.0,0.751468,8.452335
27,Attention,self_attn.o_proj,2.765625,-3.296875,0.076430306,21.729902
27,MLP,mlp.gate_proj,42.5,-10.875,0.77555376,7.4410086
27,MLP,mlp.up_proj,42.5,-10.875,0.77555376,7.4410086
27,MLP,mlp.down_proj,112.0,-72.5,0.15755421,2577.3684
28,Attention,self_attn.q_proj,41.75,-10.1875,0.8167873,5.781435
28,Attention,self_attn.k_proj,41.75,-10.1875,0.8167873,5.781435
28,Attention,self_attn.v_proj,41.75,-10.1875,0.8167873,5.781435
28,Attention,self_attn.o_proj,4.03125,-5.875,0.10852065,16.203827
28,MLP,mlp.gate_proj,41.75,-10.3125,0.8465112,5.124899
28,MLP,mlp.up_proj,41.75,-10.3125,0.8465112,5.124899
28,MLP,mlp.down_proj,165.0,-98.0,0.28781027,2053.702
29,Attention,self_attn.q_proj,39.75,-10.0,0.87253034,4.834091
